Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,RowSums,country,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,4,4,3,7,4,7,5,6,4,7,3,3,2,1,22,1,10,0,10,2,1,5,English
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,7,7,7,7,7,7,7,7,7,7,4,2,1,2,23,1,10,2,70,2,1,3,Electronic engineering 
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,1,7,6,7,7,7,7,4,7,7,2,3,2,1,24,3,7,1,60,1,1,2,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,6,7,7,7,4,6,7,7,3,7,2,1,1,2,18,1,10,1,10,2,1,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,1,5,4,7,5,7,7,5,1,5,2,3,2,2,19,1,10,4,10,2,1,4,Veterinary 
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,2,7,1,7,2,5,1,7,1,1,1,2,2,1,13,2,12,5,70,2,1,1,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,3,3,5,6,5,5,7,4,3,3,3,2,2,1,19,2,4,1,10,2,1,4,multimedia
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,ZA,3,1,6,7,4,7,7,1,7,1,4,1,3,1,58,3,4,4,60,2,2,2,psychology
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,MY,3,5,3,7,3,1,7,7,5,3,2,1,1,2,18,1,10,1,10,2,1,3,Chargeman
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,168,US,7,7,7,7,7,7,7,7,7,7,2,1,2,1,15,3,2,5,60,2,1,6,
